text,label
公司发布全新AI芯片，性能提升,1
某明星今日早餐吃了豆浆油条,0
科学家发现新型环保材料，可降解塑料,1
广场舞大赛将于 举行,0
一村庄“ 人 中 人 患癌”，村民怀疑与化工厂有关，通报,1
初中生轻松买到饮料酒 新品爆出合规漏洞,1
天舟十号货运飞船发射任务取得圆满成功,1
朱雀二号改进型加长火箭首飞成功,1
美货运“龙”飞船为国际空间站送货,1
SpaceX 将发射 史上 最高推力最大火箭,1
人工智能在医疗领域取得新突破,1
国家航天局宣布新的深空探测计划,1
拼豆已经进化成我拼不起的样子,0
预热暑期档 “电影+”惠民举措持续消费市场,0
解码年报“含金量”,0
讲习所·中国与世界 此行间 文脉华章,0
良田迎丰收 环境焕然一新 和田稻香村“诗意生长”,0
收到多支雪糕 “匿名外卖”留言：辛苦了,0
老人拦车碰瓷 索 医药费,0
等下班神器！魔性游戏,0
赛力斯股份回购难阻股价腰斩,0
文旅实力宠粉，护航人次鸟巢观演,0
自曝减肥 斤 是因为,0
习主席的老朋友访华，共同擘画中俄新,0
“姓甚名谁”？,0
的军靴声，越来越近,0
稳岗扩容，打开新空间守住百姓幸福感,0
早报：称可能不得不再给猛烈一击,0
谷歌 推出全新Gemini Omni模型，主打多模态无缝交互,1
新突破！我国商业航天首款可展开星载伞天线下线,1
公开学特朗普讲话，现场一阵哄堂大笑,0
烟花厂爆炸致37死，为何“一关了之”是下策？,1
阿里云 千问 大模型 Qwen3.7-Max-Preview 首发亮相 Arena AI,1
电竞平板要性价比的？这款看看吧，续航是亮点,0
为完成指标，引诱少年吸毒，“杀良冒功”的警察只判5年？,1
比亚迪要进军F1？公司回应：暂无消息可透露,0
618宠会员加码，技嘉AMD板卡装机福利火爆来袭,0
国防部：正举行核武器作战使用演习,1
老板出轨女技师年为其买车买房,0
谷歌I/O 大会综述：Gemini 3.5、AI搜索、Android XR眼镜等,1
国家医保局：买华为手表，不能刷医保了,1
三星电子工会暂缓罢工 韩国股市强劲反弹,1
特斯拉监督自动驾驶系统进入中国,1
秘鲁发现古城遗址超过马丘比丘，疑为失落的印加城市“Ancocagua”,1
乌克兰称俄罗斯无人机在黑海攻击一艘中国货船，外交部：马绍尔群岛籍，中国籍船员,1
元 免费 养老 消费券  全国地方政府普遍拖欠 ,1
韩国法院要求三星工会在罢工期间保持基本生产,1
乌干达确认已经卷入本次埃博拉疫情,1
CIA局长访问古巴 带上抓捕 的特工,0
部未正面回应“西伯利亚力量2号”天然气管道进展,1
星舰 V3 版首次试飞  一台二级发动机失效依然完成任务,1
总工会副主席 倒台,0
山西留神峪煤矿瓦斯爆炸 至少90人死亡,1
受添加剂事件影响 漳州杨梅收购价跌至2元内,1
淮安判例，两人均不愿抚养子女 不准离婚,1
香港 万 美元买下世界杯转播权 ,0
浙江宣传：世界杯转播权何止是钱的事 印度只花 万 美元,0
阿联酋称再次被伊朗攻击,0
美军 袭击油轮并空袭沿海地区,0
美国 参议员感谢中方鼓励开放霍尔木兹海峡,0
台湾 “军购特别条例”亿新台币购买 美国 武器,0
邮轮汉坦病毒确定人传人,1
重庆政法委原书记陆克华判死缓  受贿亿,0
外交部 抗议英国判 名 中国公民有罪,0
挪威逮捕一名中国女性 指控收集太空项目数据,0
军报评两任国防部长：没有“丹书铁券”和“铁帽子王”,0
烟花厂爆炸事故至少 人 未 生还,1
巴西对中国公民免签,0
山西太原通报职工自曝“吃空饷”事件：确实不到岗也发基本工资和部分绩效,1
绿地集团债务逾期 亏损未公示 高管被上海证监局警示,0
“天眼”换国产钢丝绳,1
马斯克：xAI更名为SpaceXAI  归属SpaceX,1
一审被判死缓 未公布金额,0
省政协原副主席周喜安判死缓 受贿 亿,0
在岸、离岸人民币对美元汇率破,0
央视未接受世界杯转播费报价  行政规定 央视独家购买 其他 企业 不得参与,1
国宣布“戴高乐”号航母正驶向 海，准备为 海峡 护航,0
巴拉圭总统去台湾,0
确认 年阿拉斯加峡湾曾有500米巨浪,1
三星 电子 市值突破1万亿美元  台积电 之外第二家亚洲公司,1
三星宣布停止在中国市场销售所有家电产品,0
大学生命学院院长免职 涉嫌论文造假,0
多地 倡议 公职人员 党员干部 带头 缴纳 物业费,1
市委书记 倒台,0
微博,0
租用小电充电宝已经及时归还却被收费99元。,0
就算在质保内也不能质保！京东销售方,0
28人接力飞天！,0
#何猷君也有过30岁焦虑  在《热浪之外》节目中，何猷君坦言也曾担心30岁创业不成功就得回去继承家业，于是提前用目标化解,0
BBA 在电动车领域也别谈品牌溢价！只能拼产品和价格,0
陈根：长期吃药的人，身体后来都怎么样了？,0
新疆人权事业取得历史性成就,0
突破4000列！阿拉山口铁路口岸运力升级,1
山西留神峪煤矿爆炸时247人下井仅记录124人,1
重庆永川暴雨致17人失联 1人死亡,1
AI制药利好！核心平台将成立，华为也参与,1
重庆参与“一带一路”建设沿,0
重庆参与一带一路建设 从内陆腹地走向开放前沿,0
2018年12生肖运势,0
2018年12星座运势,0
台官员称若解放军攻台可撑超2周 网友:哪来自信,0
24年的等待！上海20分大逆转&3-1淘汰北京！时隔24年重返CBA总决赛！,0
C罗获沙特联赛首冠！利雅得胜利4-1达马克夺冠，41岁C罗生涯已夺37冠,0
联赛冠军在招手！科曼世界波破门，利雅得胜利2-0领先达马克,0
尼尔森锦标赛金施佑守住2杆优势 舍夫勒克拉克T2,0
售价11.99-14.99万元 比亚迪第三代元PLUS上市,0
2026款比亚迪海鸥 让A00级代步车也能拥有激光雷达,0
浑身黑科技 全新AMG GT四门跑车发布,0
沈月庆幸总遇到很好的人,0
王鹤棣沈月疑似互删？ 事件时间线,0
新浪财经隔夜要闻大事汇总：2026年5月23日,0
乳企年报|9家乳制品公司存货增长 妙可蓝多、海融科技、熊猫乳品增速最快,0
乳企年报|12家公司经营活动现金流净额减少 佳禾食品现金流由正转负,0
乳企年报|7家乳制品公司陷入亏损 海融科技、三元股份、光明乳业净利率下滑最严重,1
谢治宇带9人，朱少醒率19人！公募名将为何扎堆调研这些标的？,0
美大使称特朗普放弃使用武力“接管”格陵兰岛,1
SpaceX取消“星舰”V3测试飞行,1
水贝夜校：AI时代的“一人公司”孵化场,1
毕业论文将检测AIGC率，该如何界定使用边界？,1
6人团队  创造4000万营收  电商经营迎来最大变量？,0
哈！AI先把年轻人给「炸裂」了,0
恐龙、比特币和火星KPI，500页SpaceX招股书里的10个小彩蛋,1
教育信息化30年：为什么设备越来越多，老师却越来越累？,1
All in AI，理想股价崩了,1
豆包支付来了！亚马逊阿里字节连夜摊牌，AI尽头是电商？,0
2026年五大游戏加速器横评:实测评测与推荐指南,1
谷歌、Meta、TikTok 遭欧盟消费者组织集体投诉,1
机构预测：谷歌智能眼镜今年销量将达200万台,1
Take-Two确认《GTA6》11月19日正式发售
小米17 Max正式发布，还有这些生态新品面世,0
每个人成长都有自己的轨迹,0
2026年4月｜AI智能体平台TOP8推荐,1
女性营销救不了海澜之家：成也“她”，困也“她”,0
尹志尧做回“中国人”，中微公司市值破2000亿,0
卖场与工匠的"双向奔赴":芝麻装工长之家加速全国布局,0
3所高校设全国首批具身智能专业,1
每年3600元育儿补贴如何申领？,1
果然，韩国最该申遗的是编剧,0
前4个月我国高技术产业实际使用外资同比增长20.3%,1
直击山西通洲集团留神峪煤矿瓦斯爆炸事故救援现场,1
媒体:山西矿难涉事企业去年2次被罚 罚款金额耐人寻味,1
男子和人冲突打架被打伤一个月后去世 打人者被判10年,0
山西矿难涉事企业去年曾被罚 实控人拉煤炭跑运输起家,1
煤矿事故死伤惨重 专家:瓦斯爆炸几乎不存在黄金救援期,1
漩涡中的漳州杨梅：大面积滞销 收购价跌至1元左右,0
闻泰科技：安世荷兰声称公司回避与其沟通 与事实不符,0
女子网购3件单价119元外套 仅1件到货实际售价19元,0
皮卡坠桥致10人遇难 幸存者：当时已做好死亡的准备,0
阿姨在苹果手机下载"指南针"马上卸载 半年被扣1608元,0
标价1980元的三亚酒店海景房仅需1分钱 酒店：会留房,0
中国公司在国内起诉欲"抢回"安世半导体 索赔80亿元,0
单亲爸爸照顾2个罕见病儿子 父子三人决定捐献遗体,0
